species,bearing,ws,wd_to
BBA,44.01759555,11.95117393,124.8906768
BBA,12.12707622,7.193715044,128.5613982
BBA,132.5723166,4.967348597,81.66729292
BBA,78.6180708,10.85826107,30.79140885
BBA,81.4768873,10.35337041,105.3906474
BBA,207.642896,9.382294723,68.59669645
BBA,45.85021616,10.85826107,30.79140885
BBA,53.19740311,6.72024596,167.0644868
BBA,51.23327103,9.382294723,68.59669645
BBA,155.2415142,10.85826107,30.79140885
BBA,258.437873,13.4487954,105.9173306
BBA,158.7118753,10.85826107,30.79140885
GHA,239.1419368,8.739317609,20.15607665
GHA,194.4222882,7.600860808,87.92444295
GHA,1.123210707,3.193929613,319.6853231
GHA,335.1153789,6.052353,80.90688
GHA,125.3142176,6.241828,206.7054
GHA,51.79828521,4.844457,0.5088037
GHA,109.1172991,8.57002,149.1212
GHA,46.56873192,4.693642,33.00865
GHA,64.51557906,11.32848,140.8349
GHA,35.81264243,8.26819,55.16699
GHA,325.0054084,4.942932,5.402806
GHA,58.69090769,12.66216,57.38729
GHA,19.44010571,8.015998,125.0796
GHA,122.1937672,8.57002,149.1212
GHA,85.10872359,11.32848,140.8349
WALB,322.6394531,10.34222,97.87147
WALB,158.2827772,10.30091,163.1617
WALB,68.88087841,4.945753,147.6967
WALB,350.5390712,10.7855,125.4606
WALB,87.09710559,10.16923,97.83341
WALB,293.1630619,4.840213,180.352
WALB,233.7289618,9.847379,43.11394
WALB,332.3050973,7.705685,157.4166
WALB,283.8185556,3.235443,20.43876
WALB,17.30679862,10.7855,125.4606
WALB,284.0572596,4.860915,177.7779
WALB,255.2745103,9.847379,43.11394
WCP,4.239597737,3.052613,33.89627
WCP,17.00778026,12.26988,135.1569
WCP,18.68450711,3.130633,350.932024
WCP,286.3080844,5.485847,232.0411
WCP,51.77973512,12.62957,54.34193
WCP,115.5906227,9.644562,121.3889
WCP,84.47378071,10.20835,87.61807
WCP,306.6910371,5.389567,233.4479
WCP,341.9748188,9.0395,225.1865
WCP,74.6183163,14.58171,152.4907
WCP,7.879692718,9.366305,96.54211
WCP,27.20017046,9.0395,225.1865
