species,id,ws,wd,date,depart,mass,mass_st,age
BBA,BBA_04,10.44088042,102.8824551,30/04/2006,0,3.209422884,-0.948356336,111
BBA,BBA_04,10.5873888,88.42439807,01/05/2006,0,3.209422884,-0.948356336,112
BBA,BBA_04,9.91122788,80.99364051,02/05/2006,0,3.209422884,-0.948356336,113
BBA,BBA_04,9.284345318,84.75930005,03/05/2006,0,3.209422884,-0.948356336,114
BBA,BBA_04,10.01256176,111.2746346,04/05/2006,0,3.209422884,-0.948356336,115
BBA,BBA_04,11.6159225,71.88642035,05/05/2006,0,3.209422884,-0.948356336,116
BBA,BBA_04,9.191966146,51.89366628,06/05/2006,0,3.209422884,-0.948356336,117
BBA,BBA_04,10.60447344,93.4542365,07/05/2006,0,3.209422884,-0.948356336,118
BBA,BBA_04,11.55193067,86.47999816,08/05/2006,0,3.209422884,-0.948356336,119
BBA,BBA_04,13.84781812,104.4754644,09/05/2006,0,3.209422884,-0.948356336,120
BBA,BBA_04,10.34545397,67.09414731,10/05/2006,1,3.209422884,-0.948356336,121
GHA,GHA_08,9.601944987,132.0414389,19/05/2006,0,5.2,2.832755994,138
GHA,GHA_08,11.29688373,113.1658647,20/05/2006,0,5.2,2.832755994,139
GHA,GHA_08,7.161247079,44.55856675,21/05/2006,0,5.2,2.832755994,140
GHA,GHA_08,8.442430984,45.83113561,22/05/2006,0,5.2,2.832755994,141
GHA,GHA_08,7.893135706,62.82100701,23/05/2006,0,5.2,2.832755994,142
GHA,GHA_08,6.884659349,90.21273645,24/05/2006,0,5.2,2.832755994,143
GHA,GHA_08,6.720478165,91.44487494,25/05/2006,0,5.2,2.832755994,144
GHA,GHA_08,5.416711733,109.8553405,26/05/2006,0,5.2,2.832755994,145
GHA,GHA_08,3.303643475,66.27900017,27/05/2006,0,5.2,2.832755994,146
GHA,GHA_08,4.998662108,-87.26050405,28/05/2006,0,5.2,2.832755994,147
GHA,GHA_08,5.739813139,141.1231638,29/05/2006,0,5.2,2.832755994,148
GHA,GHA_08,3.477956368,47.73728169,30/05/2006,0,5.2,2.832755994,149
GHA,GHA_08,4.303585736,31.57374575,31/05/2006,0,5.2,2.832755994,150
GHA,GHA_08,7.9758532,27.65068909,01/06/2006,0,5.2,2.832755994,151
GHA,GHA_08,5.988387114,45.39426693,02/06/2006,0,5.2,2.832755994,152
GHA,GHA_08,9.389043567,110.5451938,03/06/2006,0,5.2,2.832755994,153
GHA,GHA_08,5.042253869,-33.96406153,04/06/2006,0,5.2,2.832755994,154
GHA,GHA_08,8.71131112,-87.98712428,05/06/2006,0,5.2,2.832755994,155
GHA,GHA_08,10.46581404,-58.68561999,06/06/2006,0,5.2,2.832755994,156
GHA,GHA_08,4.217966879,-1.622583647,07/06/2006,1,5.2,2.832755994,157
GHA,GHA_11,10.44088042,102.8824551,30/04/2006,0,3,-1.707893637,119
GHA,GHA_11,10.5873888,88.42439807,01/05/2006,0,3,-1.707893637,120
GHA,GHA_11,9.91122788,80.99364051,02/05/2006,0,3,-1.707893637,121
GHA,GHA_11,9.284345318,84.75930005,03/05/2006,0,3,-1.707893637,122
GHA,GHA_11,10.01256176,111.2746346,04/05/2006,0,3,-1.707893637,123
GHA,GHA_11,11.6159225,71.88642035,05/05/2006,0,3,-1.707893637,124
GHA,GHA_11,9.191966146,51.89366628,06/05/2006,0,3,-1.707893637,125
GHA,GHA_11,10.60447344,93.4542365,07/05/2006,0,3,-1.707893637,126
GHA,GHA_11,11.55193067,86.47999816,08/05/2006,0,3,-1.707893637,127
GHA,GHA_11,13.84781812,104.4754644,09/05/2006,0,3,-1.707893637,128
GHA,GHA_11,10.34545397,67.09414731,10/05/2006,0,3,-1.707893637,129
GHA,GHA_11,11.45150666,82.98597086,11/05/2006,0,3,-1.707893637,130
GHA,GHA_11,7.275336306,76.95614239,12/05/2006,0,3,-1.707893637,131
GHA,GHA_11,10.21628922,111.6127233,13/05/2006,0,3,-1.707893637,132
GHA,GHA_11,6.92471697,124.7155915,14/05/2006,0,3,-1.707893637,133
GHA,GHA_11,11.68272419,130.5825627,15/05/2006,0,3,-1.707893637,134
GHA,GHA_11,8.346321598,132.4085451,16/05/2006,0,3,-1.707893637,135
GHA,GHA_11,8.870637871,131.6131307,17/05/2006,0,3,-1.707893637,136
GHA,GHA_11,10.56017498,115.3648721,18/05/2006,0,3,-1.707893637,137
GHA,GHA_11,9.601944987,132.0414389,19/05/2006,1,3,-1.707893637,138
GHA,GHA_09,10.21628922,111.6127233,13/05/2006,0,3.777961347,-0.102234591,138
GHA,GHA_09,6.92471697,124.7155915,14/05/2006,0,3.777961347,-0.102234591,139
