"","species","age","mass","wingspan","wingarea","wingload","aspect","mass_f","wingload_f"
"1","WCP","Juvenile",1500,93.58,1572.48,93.58,11.30556686,1180,73.53
"2","WCP","Juvenile",1540,116.3,1298.948889,116.3,13.05058278,1210,91.39
"3","WCP","Juvenile",1780,124.7,1400.275556,124.7,12.6325136,1400,97.99
"4","WCP","Juvenile",1480,96.57,1503.448889,96.57,11.89571829,1160,75.88
"5","WCP","Juvenile",1590,106.32,1467.108889,106.32,12.23903702,1250,83.54
"6","WCP","Juvenile",1690,106.83,1551.84,106.83,12.05938757,1330,83.94
"7","WCP","Juvenile",1440,91.66,1541.133333,91.66,12.06046056,1240,78.96
"8","WCP","Juvenile",1490,90.16,1621.222222,90.16,11.24151874,1280,77.67
"9","WCP","Juvenile",1530,98.71,1520.608889,98.71,11.33160401,1320,85.03
"10","WCP","Juvenile",1370,102.46,1311.755556,102.46,12.87028749,1180,88.26
"11","WCP","Juvenile",1620,115.31,1378.233333,115.31,12.29983312,1400,99.33
"12","WCP","Juvenile",1310,79.2,1622.633333,79.2,10.93422626,1130,68.23
"13","WCP","Juvenile",1220,87.94,1360.906667,87.94,12.18999099,1050,75.76
"14","GHA","Juvenile",3600,137.94,2560.217778,137.94,12.97590309,3280,125.75
"15","GHA","Juvenile",3200,106.97,2934.733333,106.97,13.83049605,2920,97.51
"16","GHA","Juvenile",4200,115.35,3571.866667,115.35,14.6133724,3830,105.15
"17","GHA","Juvenile",4100,157.87,2547.671111,157.87,14.62080401,3740,143.92
"18","GHA","Juvenile",3200,105.52,2975.013333,105.52,14.73887848,2920,96.19
"19","GHA","Juvenile",3550,119.59,2911.968889,119.59,14.06806239,3240,109.02
"20","GHA","Juvenile",3300,112.54,2876.675556,112.54,13.36339015,3010,102.59
"21","GHA","Juvenile",2500,73.98,3315.04,73.98,13.99595782,2280,67.44
"22","GHA","Juvenile",5200,145.41,3508.2,145.41,15.13145203,4740,132.55
"23","GHA","Juvenile",3150,94.69,3263.288889,94.69,14.45653192,2870,86.32
"24","GHA","Juvenile",2900,102.09,2786.575556,102.09,14.20182957,2640,93.07
"25","GHA","Juvenile",2900,98.49,2888.477778,98.49,13.61828414,2640,89.78
"26","GHA","Juvenile",2700,86.34,3067.893333,86.34,14.53025891,2460,78.7
"27","GHA","Juvenile",3900,123.17,3106.195556,123.17,14.46914697,3560,112.28
"28","GHA","Juvenile",3600,128.55,2747.36,128.55,13.73665547,3280,117.18
"29","GHA","Juvenile",3000,102.71,2865.306667,102.71,13.80234499,2730,93.63
"30","BBA","Juvenile",3600,105.39,3350.962222,105.39,13.37854666,3360,98.4
"31","BBA","Juvenile",3350,103.58,3172.653333,103.58,13.94419953,3130,96.71
"32","BBA","Juvenile",3800,111.94,3330.22,111.94,14.27052867,3550,104.51
"33","BBA","Juvenile",3240,100.11,3175.044444,100.11,13.93369822,3030,93.47
"34","BBA","Juvenile",3200,99.49,3155.288889,99.49,13.02600361,2990,92.89
"35","BBA","Juvenile",2800,87.22,3149.393333,87.22,14.02938132,2610,81.43
"36","BBA","Juvenile",4300,121.81,3462.971111,121.81,14.54108579,4010,113.73
"37","BBA","Juvenile",3500,109.22,3143.72,109.22,14.51757825,3270,101.97
"38","BBA","Juvenile",3400,96.52,3455.673333,96.52,12.75352158,3170,90.12
"39","BBA","Juvenile",2550,89.32,2800.702222,89.32,14.55958823,2380,83.39
"40","BBA","Juvenile",2550,87.82,2848.48,87.82,14.66724709,2380,81.99
"41","BBA","Juvenile",3300,100.38,3224.893333,100.38,12.32920159,3080,93.72
"42","BBA","Juvenile",2650,95.95,2709.333333,95.95,13.44614337,2470,89.59
"43","BBA","Juvenile",3550,111.41,3125.962222,111.41,12.88578912,3310,104.02
"44","BBA","Juvenile",3990,118.45,3304.611111,118.45,13.94469008,3730,110.59
"45","BBA","Juvenile",3350,102.27,3213.555556,102.27,13.57539451,3130,95.48
"46","WA","Juvenile",12550,198.39,6002.94,198.39,16.48,9630,198.39
